ModuleNo,RefID,PartNo,WindNo,2023-07-06 14:02:31(1M232700046),2023-07-06 13:50:09(1M232700047),Total,Average,Stdevp,Stdev,CP,CPK,GageRnR,Min,Max,Max-min,Count
1,X60800,6726,1,0.0223,-0.0675,-0.0452,-0.0226,0.0449,0.0635,371.19525,-371.36303,0.1347,-0.0675,0.0223,0.0898,2
1,X63000,6727,1,0.0898,0.2474,0.3372,0.1686,0.0788,0.11144,211.50592,-210.79272,0.2364,0.0898,0.2474,0.1576,2
1,X61800,6728,1,0.1648,0.1423,0.3071,0.15355,0.01125,0.01591,1481.48148,-1476.93185,0.03375,0.1423,0.1648,0.0225,2
1,X64000,6729,1,0.1123,-0.0826,0.0297,0.01485,0.09745,0.13782,171.02788,-170.97708,0.29235,-0.0826,0.1123,0.1949,2
1,X62800,6730,1,0.0073,-0.0675,-0.0602,-0.0301,0.0374,0.05289,445.6328,-445.90107,0.1122,-0.0675,0.0073,0.0748,2
1,X65000,6731,1,0.1573,0.1198,0.2771,0.13855,0.01875,0.02652,888.88889,-886.42578,0.05625,0.1198,0.1573,0.0375,2
1,X63800,6732,1,0.1348,0.1273,0.2621,0.13105,0.00375,0.0053,4444.44444,-4432.79556,0.01125,0.1273,0.1348,0.0075,2
1,X66000,6733,1,0.0373,-0.1576,-0.1203,-0.06015,0.09745,0.13782,171.02788,-171.23362,0.29235,-0.1576,0.0373,0.1949,2
1,X64800,6734,1,-0.015,-0.03,-0.045,-0.0225,0.0075,0.01061,2222.22222,-2223.22222,0.0225,-0.03,-0.015,0.015,2
1,X65800,6735,1,0.2174,0.1423,0.3597,0.17985,0.03755,0.0531,443.85264,-442.2561,0.11265,0.1423,0.2174,0.0751,2
-,-,-,Total,2.8375,2.1783,5.0158,-,-,-,-,-,-,-,-,-,-
-,-,-,Average,0.08867,0.06807,-,0.07837,-,-,-,-,-,-,-,-,-
-,-,-,Stdevp,0.08246,0.13845,-,-,0.04358,-,-,-,-,-,-,-,-
-,-,-,Stdev,0.08378,0.14066,-,-,-,0.06164,-,-,-,-,-,-,-
-,-,-,CP,202.1182,120.3804,-,-,-,-,161.2493,-,-,-,-,-,-
-,-,-,CPK,-201.75976,-120.21652,-,-,-,-,-,-160.98814,-,-,-,-,-
-,-,-,GageRnR,0.24738,0.41535,-,-,-,-,-,-,0.13075,-,-,-,-
-,-,-,Min,-0.0525,-0.1576,-,-,-,-,-,-,-,-0.1576,-0.045,-,-
-,-,-,Max,0.2624,0.3824,-,-,-,-,-,-,-,0.1948,0.3824,-,-
-,-,-,Max-min,0.3149,0.54,-,-,-,-,-,-,-,-,-,0.54,-
-,-,-,Count,32,32,-,-,-,-,-,-,-,-,-,-,32
